model,dataset,compression,avg_epoch_time,train_loss,test_accuracy,test_time
small-CNN,mnist,none,10.2313,0.0059,0.9889,0.7834
small-CNN,mnist,jpeg_1,6.4257,0.0138,0.9816,0.5146
small-CNN,mnist,jpeg_10,6.4243,0.0081,0.9867,0.5190
small-CNN,mnist,jpeg_50,6.5521,0.0064,0.9857,0.5133
small-CNN,mnist,png,6.6233,0.0063,0.9884,0.5251
small-CNN,mnist,webp_1,6.6468,0.0054,0.9868,0.5356
small-CNN,mnist,webp_5,6.7601,0.0059,0.9891,0.5287
small-CNN,mnist,webp_20,6.7662,0.0066,0.9880,0.5603
small-CNN,fashion,none,11.3700,0.1528,0.9141,0.8099
small-CNN,fashion,jpeg_1,6.7900,0.2855,0.8491,0.5637
small-CNN,fashion,jpeg_10,6.8860,0.2056,0.8944,0.5556
small-CNN,fashion,jpeg_50,7.0396,0.1715,0.8987,0.5402
small-CNN,fashion,png,6.9007,0.1630,0.9128,0.5446
small-CNN,fashion,webp_1,6.9419,0.1931,0.8955,0.5462
small-CNN,fashion,webp_5,6.8184,0.1848,0.8964,0.5549
small-CNN,fashion,webp_20,6.4702,0.1723,0.9039,0.5515
small-CNN,cifar10,none,11.2051,0.7513,0.6861,1.5899
small-CNN,cifar10,jpeg_1,6.7136,1.3020,0.4708,1.1618
small-CNN,cifar10,jpeg_10,6.8463,0.9329,0.5920,1.1545
small-CNN,cifar10,jpeg_50,7.2239,0.8045,0.6557,1.1617
small-CNN,cifar10,png,7.1170,0.7237,0.6875,1.1650
small-CNN,cifar10,webp_1,7.1751,0.9630,0.5985,1.1536
small-CNN,cifar10,webp_5,7.1199,0.9039,0.6221,1.1605
small-CNN,cifar10,webp_20,7.2081,0.8011,0.6463,1.1631
small-MLP,mnist,none,5.9966,0.0061,0.9769,0.3001
small-MLP,mnist,jpeg_1,1.6161,0.0112,0.9750,0.0503
small-MLP,mnist,jpeg_10,1.6834,0.0065,0.9749,0.0522
small-MLP,mnist,jpeg_50,1.6007,0.0083,0.9801,0.0523
small-MLP,mnist,png,1.6531,0.0099,0.9788,0.0488
small-MLP,mnist,webp_1,1.6160,0.0084,0.9809,0.0531
small-MLP,mnist,webp_5,1.6149,0.0081,0.9791,0.0532
small-MLP,mnist,webp_20,1.5981,0.0086,0.9810,0.0524
small-MLP,fashion,none,6.0462,0.1613,0.8916,0.3016
small-MLP,fashion,jpeg_1,1.8106,0.2358,0.8548,0.0525
small-MLP,fashion,jpeg_10,1.7721,0.1855,0.8875,0.0536
small-MLP,fashion,jpeg_50,1.7522,0.1637,0.8941,0.0446
small-MLP,fashion,png,1.7570,0.1607,0.8867,0.0589
small-MLP,fashion,webp_1,1.8089,0.1763,0.8812,0.0603
small-MLP,fashion,webp_5,1.7756,0.1724,0.8819,0.0542
small-MLP,fashion,webp_20,1.8202,0.1630,0.8931,0.0573
small-MLP,cifar10,none,8.1339,1.2211,0.5025,0.4923
small-MLP,cifar10,jpeg_1,4.0110,1.5102,0.4197,0.0871
small-MLP,cifar10,jpeg_10,4.0308,1.3182,0.4737,0.0725
small-MLP,cifar10,jpeg_50,4.0345,1.2367,0.5125,0.0726
small-MLP,cifar10,png,4.0017,1.2097,0.5142,0.0839
small-MLP,cifar10,webp_1,3.9877,1.3145,0.4727,0.0894
small-MLP,cifar10,webp_5,4.1107,1.3001,0.4969,0.0792
small-MLP,cifar10,webp_20,4.1244,1.2753,0.4981,0.0805
small-NN,mnist,none,7.0730,0.0061,0.9829,0.3203
small-NN,mnist,jpeg_1,2.7420,0.0118,0.9733,0.0689
small-NN,mnist,jpeg_10,2.7731,0.0070,0.9830,0.0630
small-NN,mnist,jpeg_50,2.8120,0.0100,0.9834,0.0728
small-NN,mnist,png,2.9229,0.0083,0.9827,0.0652
small-NN,mnist,webp_1,2.7935,0.0092,0.9827,0.0678
small-NN,mnist,webp_5,2.6762,0.0107,0.9821,0.0677
small-NN,mnist,webp_20,2.7259,0.0113,0.9831,0.0650
small-NN,fashion,none,7.5670,0.1473,0.8964,0.3117
small-NN,fashion,jpeg_1,2.8381,0.2113,0.8534,0.0642
small-NN,fashion,jpeg_10,2.9418,0.1696,0.8861,0.0730
small-NN,fashion,jpeg_50,2.9269,0.1454,0.8915,0.0602
small-NN,fashion,png,2.8963,0.1477,0.8963,0.0741
small-NN,fashion,webp_1,2.9151,0.1619,0.8922,0.0629
small-NN,fashion,webp_5,2.9353,0.1570,0.8871,0.0686
small-NN,fashion,webp_20,2.9242,0.1446,0.8940,0.0780
small-NN,cifar10,none,11.3976,1.1687,0.5018,0.5368
small-NN,cifar10,jpeg_1,7.0362,1.4496,0.4234,0.1132
small-NN,cifar10,jpeg_10,7.0407,1.2618,0.4832,0.1218
small-NN,cifar10,jpeg_50,7.1431,1.1797,0.5043,0.1168
small-NN,cifar10,png,7.1226,1.1661,0.5064,0.1191
small-NN,cifar10,webp_1,7.2900,1.2787,0.4911,0.1052
small-NN,cifar10,webp_5,7.2786,1.2544,0.5039,0.1055
small-NN,cifar10,webp_20,7.2143,1.2236,0.5062,0.1278
